Event,Timestamp,Score
red,0.44284892082214355,5
green,0.4762871265411377,5
red,0.4424610137939453,5
green,0.9222640991210938,6
red,0.4379591941833496,6
green,0.5080821514129639,6
red,0.4725677967071533,6
green,0.5434300899505615,6
red,0.4773240089416504,6
green,0.5425581932067871,6
green,1.1866869926452637,7
red,0.4402749538421631,7
green,0.5086557865142822,7
red,0.47497034072875977,7
green,0.5424520969390869,7
red,0.576228142,7
green,0.5759401321411133,7
blue,0.5070080757141113,7
green,1.0645079612731934,8
red,0.4450109004974365,8
green,0.5061349868774414,8
red,0.5123169422149658,8
green,0.5425498485565186,8
red,0.47493505477905273,8
green,0.6098141670227051,8
blue,0.5090560913085938,8
green,0.6454908847808838,8
green,1.0931861400604248,9
red,0.5095071792602539,9
green,0.4395909309387207,9
red,0.5113790035247803,9
green,0.5443441867828369,9
red,0.5430252552032471,9
green,0.5787539482116699,9
blue,0.5092523097991943,9
green,0.5094339847564697,9
yellow,0.5078210830688477,9
green,0.6118288040161133,10
red,0.5447101593017578,10
green,0.47847795486450195,10
red,0.4746389389038086,10
green,0.5107951164245605,10
red,0.5093529224395752,10
green,0.5425941944122314,10
blue,0.5435070991516113,10
green,0.44007015228271484,10
yellow,0.5080661773681641,10
green,0.47337913513183594,10
green,0.9231250286102295,11
red,0.4742550849914551,11
green,0.4758579730987549,11
red,0.47469305992126465,11
green,0.54157424,11
red,0.476654053,11
green,0.5429420471191406,11
blue,0.5066359043121338,11
green,0.44144272804260254,11
yellow,0.5093839168548584,11
green,0.508958101,11
red,0.474503756,11
green,1.1285297870635986,12
red,0.508094311,12
green,0.47673702239990234,12
red,0.5099327564239502,12
green,0.4743309020996094,12
red,0.47555994987487793,12
green,0.47432613372802734,12
blue,0.4747779369354248,12
green,0.5771639347076416,12
yellow,0.5095570087432861,12
green,0.5775971412658691,12
red,0.5443499088287354,12
yellow,0.5429689884185791,12
green,1.160201072692871,13
red,0.4758920669555664,13
green,0.5429301261901855,13
red,0.5089919567108154,13
green,0.4709451198577881,13
red,0.510030985,13
green,0.47864508628845215,13
blue,0.5096030235290527,13
green,0.5762169361114502,13
yellow,0.6104350090026855,13
green,0.5095999240875244,13
red,0.511328936,13
yellow,0.5769147872924805,13
red,0.4761331081390381,13
green,1.154895305633545,14
red,0.511044979,14
green,0.5439651012420654,14
red,0.5093739032745361,14
green,0.5410270690917969,14
red,0.5441088676452637,14
green,0.5422201156616211,14
blue,0.5095000267028809,14
green,0.5412392616271973,14
yellow,0.5428750514984131,14
green,0.5453708171844482,14
red,0.5734958648681641,14
yellow,0.614332914,14
red,0.5074613094329834,14
red,0.4764730930328369,14
green,1.0920519828796387,15
red,0.5099480152130127,15
green,0.5080740451812744,15
red,0.5103738307952881,15
green,0.5101220607757568,15
red,0.5099918842315674,15
green,0.5437431335449219,15
blue,0.4402351379394531,15
green,0.5100650787353516,15
yellow,0.513416052,15
green,0.5412380695343018,15
red,0.5109970569610596,15
yellow,0.540100098,15
red,0.508094072,15
red,0.4444701671600342,15
blue,0.5061752796173096,15
green,1.6335530281066895,16
red,0.5425798892974854,16
green,0.5102629661560059,16
red,0.545557976,16
green,0.6111099720001221,16
red,0.5404722690582275,16
green,0.5785958766937256,16
blue,0.5089740753173828,16
green,0.5443019866943359,16
yellow,0.5112409591674805,16
green,0.5439372062683105,16
red,0.5441563129425049,16
yellow,0.6112608909606934,16
red,0.5403609275817871,16
red,0.5092709064483643,16
blue,0.5102670192718506,16
yellow,0.5429110527038574,16
green,1.0577490329742432,17
red,0.4416229724884033,17
green,0.542515755,17
red,0.5448782444000244,17
green,0.4747469425201416,17
red,0.509789228,17
green,0.5088460445404053,17
blue,0.5093750953674316,17
green,0.5082588195800781,17
yellow,0.5093517303466797,17
green,0.5433111190795898,17
red,0.5440390110015869,17
yellow,0.5776090621948242,17
red,0.5749297142028809,17
red,0.6144850254058838,17
blue,0.6112220287322998,17
yellow,0.57565999,17
blue,0.5426158905029297,17
green,1.160073996,18
red,0.47480177879333496,18
green,0.4727020263671875,18
red,0.5099270343780518,18
green,0.4417688846588135,18
red,0.44649505615234375,18
green,0.47200608253479004,18
blue,0.4448549747467041,18
green,0.5101289749145508,18
yellow,0.43936896324157715,18
green,0.47347092628479004,18
red,0.5066590309143066,18
yellow,0.5437240600585938,18
red,0.5080530643463135,18
red,0.47778773307800293,18
blue,0.5086352825164795,18
yellow,0.5427310466766357,18
blue,0.5041089057922363,18
red,0.5424282550811768,18
green,0.9896280765533447,19
red,0.43922996520996094,19
green,0.4736638069152832,19
red,0.5087201595306396,19
green,0.47469425201416016,19
red,0.4750499725341797,19
green,0.4764101505279541,19
blue,0.5075671672821045,19
green,0.5092611312866211,19
yellow,0.5437171459197998,19
green,0.5451457500457764,19
